Feature,Coefficient,P>|t|,Culture,Character_Pair
sexual,0.01303596385746672,3.2130410514528803e-07,UK,Father and Son
sad,0.00922243956471282,0.012772995647954234,UK,Father and Son
ingest,0.00910826045342222,0.0006297644054792689,UK,Father and Son
interrog,0.0070849585180911955,0.004623318388735767,UK,Father and Son
filler,0.0070362046769938055,0.0003348957442074694,UK,Father and Son
quant,0.006616836655910127,0.010281964726350129,UK,Father and Son
adverb,0.006462801253338609,0.031632666606092846,UK,Father and Son
focusfuture,0.006361649653294918,0.01684994691425047,UK,Father and Son
discrep,0.006175463474746579,0.045391204188675004,UK,Father and Son
number,-0.004656145041242129,0.023259813733753618,UK,Father and Son
home,-0.007036810586540615,0.0029172253805264062,UK,Father and Son
achiev,-0.008700246797093142,0.00358342575364285,UK,Father and Son
anger,-0.00976467194739544,4.8023252023364964e-05,UK,Father and Son
netspeak,-0.01576164106304111,1.3384370272923609e-11,UK,Father and Son
informal,-0.01609627557370578,0.049607590704257506,UK,Father and Son
verb,-0.021064606743935226,0.010274004568357394,UK,Father and Son
nonflu,-0.02109347307419901,0.00016551376131556636,UK,Father and Son
cogproc,-0.04554533220271662,4.431679646766773e-05,UK,Father and Son
bio,-0.06696364733473772,4.519641586441025e-18,UK,Father and Son
affect,-0.08132855125045342,0.000945571683094353,UK,Father and Son
female,-0.0995312789677206,1.2536541447871167e-27,UK,Father and Son
const,0.12499999999999993,0.0,UK,Mother and Daughter
female,0.07612293789837969,8.820187494744067e-13,UK,Mother and Daughter
affiliation,0.049305370708899496,0.004517233392997066,UK,Mother and Daughter
hear,0.0384774326110279,0.006829176034242578,UK,Mother and Daughter
feel,0.02504482973925455,0.0002993743146243793,UK,Mother and Daughter
see,0.02349564739638442,0.020922942631469165,UK,Mother and Daughter
insight,0.02105049534962735,0.00650390641708452,UK,Mother and Daughter
body,0.02103438442437526,4.032055321847329e-07,UK,Mother and Daughter
focuspresent,0.02074364341865973,0.0021519044538835814,UK,Mother and Daughter
health,0.02002054649627136,1.2472626024616355e-06,UK,Mother and Daughter
adverb,0.017497001819186946,6.167101545128869e-07,UK,Mother and Daughter
reward,0.015730891259962392,0.018704239162550932,UK,Mother and Daughter
discrep,0.015267484012951913,2.2371201310873082e-05,UK,Mother and Daughter
auxverb,0.014511838548351082,0.008807286060752362,UK,Mother and Daughter
sexual,0.012644135649696615,2.142119798002999e-05,UK,Mother and Daughter
cause,0.010990850418678963,0.0025337787118070217,UK,Mother and Daughter
ingest,0.009396996404051257,0.0025002444079806375,UK,Mother and Daughter
relig,0.005891903672345404,0.02335493611805332,UK,Mother and Daughter
interrog,-0.0061601594914448355,0.03477618118330366,UK,Mother and Daughter
netspeak,-0.006853054338894041,0.01165159231717403,UK,Mother and Daughter
adj,-0.008775574621664216,0.005623259018923103,UK,Mother and Daughter
prep,-0.011195172319209195,0.02815956532057711,UK,Mother and Daughter
friend,-0.024120406994868775,0.0010935701251770283,UK,Mother and Daughter
article,-0.02869522827265003,5.104557595156444e-09,UK,Mother and Daughter
drives,-0.03152148354588274,0.0428203867447053,UK,Mother and Daughter
verb,-0.03233693977168646,0.000732716462876189,UK,Mother and Daughter
family,-0.04005434913979271,3.3190551563214145e-08,UK,Mother and Daughter
percept,-0.04353710910479891,0.01398582266119228,UK,Mother and Daughter
bio,-0.05557382874727919,6.942332333150617e-10,UK,Mother and Daughter
male,-0.05620402125751499,7.520162676748751e-09,UK,Mother and Daughter
const,0.12499999999999999,0.0,UK,Mother and Son
family,0.07875084968069765,8.5420463714817e-28,UK,Mother and Son
focuspresent,0.0623816910012056,1.6002567350307152e-20,UK,Mother and Son
relativ,0.045537812215301544,0.035892822991206844,UK,Mother and Son
friend,0.04251608290625138,6.7736235876092355e-09,UK,Mother and Son
female,0.03779030338019934,0.00034799747155558213,UK,Mother and Son
negate,0.037762398675165586,2.6571204878260894e-14,UK,Mother and Son
informal,0.03670685875792053,0.00011070857465470153,UK,Mother and Son
insight,0.035971609039457605,2.817735303364104e-06,UK,Mother and Son
hear,0.03296671635054969,0.019548195297185895,UK,Mother and Son
tentat,0.03078793589174342,1.8769840950042056e-14,UK,Mother and Son
see,0.02898527583827128,0.004105035405165083,UK,Mother and Son
auxverb,0.018164292238357423,0.0009569749317062165,UK,Mother and Son
focuspast,0.0181557862575675,2.149060609278488e-07,UK,Mother and Son
article,0.015602010587502525,0.0013649056837907953,UK,Mother and Son
discrep,0.014947038405327372,2.8939013645365777e-05,UK,Mother and Son
body,0.013954932380084526,0.000705227418674905,UK,Mother and Son
sad,0.011033681446661277,0.0100936525028731,UK,Mother and Son
quant,0.010839657431889966,0.00028338264479698685,UK,Mother and Son
risk,0.010464540190325892,0.004512951709896421,UK,Mother and Son
sexual,0.008920527157507121,0.002521826811079505,UK,Mother and Son
compare,0.008314506142084815,0.005325601812244771,UK,Mother and Son
interrog,0.0072962209486002495,0.011777157590936742,UK,Mother and Son
filler,0.004529457068044427,0.04613901552734493,UK,Mother and Son
home,-0.007539287777558775,0.005890115697584982,UK,Mother and Son
achiev,-0.008422297173371448,0.014891021811445547,UK,Mother and Son
netspeak,-0.010287567834807719,0.00013651463743875287,UK,Mother and Son
adj,-0.01062700479440404,0.0007304770103609284,UK,Mother and Son
time,-0.023250121009737036,0.04060215840031619,UK,Mother and Son
function,-0.030944224654856422,0.00954657620766375,UK,Mother and Son
nonflu,-0.03192066581135429,8.585658928266204e-07,UK,Mother and Son
male,-0.0342079620946853,0.00039352639460890577,UK,Mother and Son
bio,-0.03503926554364928,8.904842622008927e-05,UK,Mother and Son
social,-0.04591119462106079,4.184579212579883e-06,UK,Mother and Son
cogproc,-0.06160222032160949,1.8472374234817953e-06,UK,Mother and Son
verb,-0.08099474693514713,1.6798816277660816e-17,UK,Mother and Son
male,0.29354342187024113,1.3973515202686805e-246,UK,Son and Father
female,0.21019028294493947,1.5499930894376038e-108,UK,Son and Father
const,0.12500000000000047,0.0,UK,Son and Father
percept,0.05512941336505481,0.0004465429749516229,UK,Son and Father
verb,0.049445617633151154,5.733084501790628e-09,UK,Son and Father
cogproc,0.0372114211534084,0.001249881895052616,UK,Son and Father
they,0.0311516939813354,0.045649269211930917,UK,Son and Father
netspeak,0.028437978511563315,4.462927579433322e-32,UK,Son and Father
social,0.026460561912253655,0.0029678186923852903,UK,Son and Father
health,0.023358145226308018,1.7677377663803244e-10,UK,Son and Father
body,0.01876908078640529,3.365118188548384e-07,UK,Son and Father
assent,0.017951512145459182,0.0009970652962705872,UK,Son and Father
anger,0.01222297625189883,8.616104582094394e-07,UK,Son and Father
ingest,0.011835032814825095,1.741944537408029e-05,UK,Son and Father
leisure,0.010074496542959482,1.897868733716146e-05,UK,Son and Father
prep,0.010071026848300135,0.02588293741730243,UK,Son and Father
home,0.009563364163836855,9.159823040275624e-05,UK,Son and Father
swear,0.008553215788662458,0.0007516031613571537,UK,Son and Father
number,0.007269155849525116,0.0006126256582412686,UK,Son and Father
achiev,0.006939896510480397,0.024628290813809215,UK,Son and Father
adj,0.0062999697353439965,0.02490036960513534,UK,Son and Father
work,-0.005121139199966104,0.03568406734762802,UK,Son and Father
filler,-0.005492626724999428,0.006765874084471296,UK,Son and Father
conj,-0.006332953345882336,0.045701085659133424,UK,Son and Father
cause,-0.006929658202644108,0.031714938336868455,UK,Son and Father
discrep,-0.008537016240746435,0.007466495785058578,UK,Son and Father
sad,-0.009223297604183896,0.016016864198316494,UK,Son and Father
tentat,-0.009316279145070324,0.00939225462871595,UK,Son and Father
compare,-0.009614348944228409,0.00030781711240818947,UK,Son and Father
motion,-0.017305026698542936,0.02535722779988195,UK,Son and Father
certain,-0.017601033691378495,3.24160715218947e-06,UK,Son and Father
informal,-0.019120357529561455,0.024096169017542236,UK,Son and Father
negate,-0.019247492578554952,1.3685939834237087e-05,UK,Son and Father
feel,-0.019319436224374736,0.0016483851940964722,UK,Son and Father
auxverb,-0.024984636499786245,3.6369578385824524e-07,UK,Son and Father
focuspresent,-0.03945567956339383,4.64301210700991e-11,UK,Son and Father
shehe,-0.04064993262002544,0.043648202227884306,UK,Son and Father
hear,-0.043345012337954514,0.0005860722494034868,UK,Son and Father
see,-0.04541224052833728,4.784545051859985e-07,UK,Son and Father
bio,-0.057030802123549565,9.35005592883967e-13,UK,Son and Father
posemo,-0.0718040451032479,0.005146644293433158,UK,Son and Father
family,-0.22594674676348775,4.025932244690387e-262,UK,Son and Father
const,0.125,0.0,UK,Son and Mother
informal,0.08899629397497624,1.7029814756259457e-20,UK,Son and Mother
female,0.06451330813867005,1.4565913434672371e-09,UK,Son and Mother
friend,0.060419014104543506,3.361319591899993e-16,UK,Son and Mother
drives,0.05977351314089083,0.00012604125613049626,UK,Son and Mother
verb,0.057852761121819765,1.6408686640804623e-09,UK,Son and Mother
article,0.03199695383577471,7.77644869234718e-11,UK,Son and Mother
prep,0.027441953776632264,7.868917190934561e-08,UK,Son and Mother
adj,0.007254178798263184,0.022294521985578644,UK,Son and Mother
ingest,0.00700820911667938,0.024369518377721847,UK,Son and Mother
swear,-0.006371974707770102,0.026300113822851905,UK,Son and Mother
leisure,-0.006642618503324521,0.012576688756200152,UK,Son and Mother
sexual,-0.0070291483897699115,0.018323797817543622,UK,Son and Mother
focuspast,-0.007140924543380453,0.043170431766627416,UK,Son and Mother
relig,-0.0076426463927305715,0.003319534334248607,UK,Son and Mother
discrep,-0.008566683187449405,0.01752267522865256,UK,Son and Mother
focusfuture,-0.008924896465936158,0.004112447649232764,UK,Son and Mother
achiev,-0.010445340406944401,0.0027652355704294303,UK,Son and Mother
netspeak,-0.015788154835261244,6.63782306361736e-09,UK,Son and Mother
reward,-0.026888483728378754,6.0186721381021815e-05,UK,Son and Mother
affiliation,-0.03831157183683196,0.027596830115785554,UK,Son and Mother
nonflu,-0.04739985417050406,4.494903351283302e-13,UK,Son and Mother
function,-0.0501975556896235,3.0981712291005075e-05,UK,Son and Mother
focuspresent,-0.05318268109148318,4.212523170916783e-15,UK,Son and Mother
assent,-0.06946112682229716,2.289158292880084e-29,UK,Son and Mother
const,0.12500000000000006,0.0,Iran,Daughter and Father
function,0.078568955835726,2.2568168794564443e-14,Iran,Daughter and Father
social,0.06015721819316725,6.35673612509212e-11,Iran,Daughter and Father
posemo,0.05073584658891421,0.03400769763480421,Iran,Daughter and Father
cogproc,0.03498848840187767,0.00287721382792082,Iran,Daughter and Father
friend,0.03228038378765685,1.4299925004644885e-07,Iran,Daughter and Father
assent,0.026679830396542013,0.011913757310770169,Iran,Daughter and Father
